Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
A2ML1	ENSG00000166535	OMIM	AD	0.34	0.16	0.97	0.333	0.388	-	-	-	-	-	0.34	0.16	0.97	0.333	0.386
AAAS	ENSG00000094914	OMIM	AR	0.00	0.20	-0.99	0.542	0.604	0.11	0.12	0.16	0.893	0.911	0.11	0.24	-0.22	0.843	0.866
AAGAB	ENSG00000103591	OMIM	AD	0.19	0.04	3.45	0.006	0.007	-	-	-	-	-	0.19	0.04	3.45	0.006	0.007
AARS2	ENSG00000124608	OMIM	AR	-	-	-	-	-	0.08	0.04	0.59	0.722	0.772	0.11	0.04	1.39	0.362	0.418
AASS	ENSG00000008311	OMIM	AR	0.08	0.04	1.35	0.399	0.459	-	-	-	-	-	0.08	0.04	1.35	0.399	0.456
ABCA1	ENSG00000165029	OMIM	AR	-	-	-	-	-	0.15	0.00	1.71	0.296	0.345	0.15	0.04	1.52	0.310	0.360
ABCA12	ENSG00000144452	OMIM	AR	0.04	0.12	-1.18	0.398	0.457	-	-	-	-	-	0.04	0.16	-1.26	0.356	0.411
ABCA3	ENSG00000167972	OMIM	AR	-	-	-	-	-	0.42	0.16	-0.59	0.462	0.522	0.49	0.16	-0.39	0.617	0.675
ABCA4	ENSG00000198691	OMIM	AR	0.11	0.08	0.48	0.727	0.776	0.76	0.64	-0.38	0.514	0.576	0.79	0.68	-0.36	0.530	0.589
ABCA5	ENSG00000154265	OMIM	AR	0.15	0.12	0.94	0.424	0.484	-	-	-	-	-	0.15	0.12	0.94	0.424	0.482
ABCA7	ENSG00000064687	OMIM	AD	1.06	0.80	1.09	0.033	0.039	-	-	-	-	-	1.06	0.80	1.09	0.033	0.039
ABCB6	ENSG00000115657	OMIM	AD	0.30	0.08	0.74	0.495	0.558	0.19	0.04	0.69	0.573	0.632	0.49	0.12	0.81	0.364	0.419
ABCC11	ENSG00000121270	OMIM	AD	0.72	0.32	1.02	0.153	0.182	-	-	-	-	-	0.72	0.32	1.02	0.153	0.181
ABCC2	ENSG00000023839	OMIM	AR	0.19	0.24	0.16	0.874	0.895	0.11	0.04	-0.10	0.938	0.949	0.23	0.28	-0.18	0.846	0.869
ABCC6	ENSG00000091262	OMIM	AR	0.57	0.40	-0.33	0.600	0.661	1.17	0.92	0.50	0.304	0.353	1.32	0.96	0.50	0.289	0.336
ABCC8	ENSG00000006071	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.08	0.08	-0.60	0.668	0.722
ABCD4	ENSG00000119688	OMIM	AR	0.08	0.04	0.69	0.677	0.733	-	-	-	-	-	0.08	0.04	0.69	0.677	0.730
ABCG2	ENSG00000118777	OMIM	AD	0.30	0.28	0.16	0.843	0.867	0.11	0.04	1.87	0.219	0.258	0.30	0.28	0.16	0.843	0.866
ABCG5	ENSG00000138075	OMIM	Other	0.11	0.00	1.52	0.370	0.428	0.11	0.04	1.45	0.249	0.293	0.23	0.04	1.85	0.121	0.143
ABCG8	ENSG00000143921	OMIM	AR	0.19	0.08	0.82	0.506	0.568	0.19	0.04	1.30	0.311	0.361	0.19	0.12	0.33	0.762	0.798
ABL2	ENSG00000143322	SOD	Not OMIM	0.26	0.08	0.54	0.623	0.683	-	-	-	-	-	0.26	0.08	0.54	0.623	0.681
ACAD8	ENSG00000151498	OMIM	AR	0.11	0.00	1.62	0.328	0.382	0.08	0.08	0.26	0.858	0.878	0.19	0.08	1.13	0.356	0.411
ACADM	ENSG00000117054	OMIM	AR	0.15	0.04	1.45	0.271	0.317	0.34	0.04	1.81	0.144	0.171	0.34	0.04	1.81	0.144	0.171
ACADS	ENSG00000122971	OMIM	AR	-	-	-	-	-	0.08	0.24	-0.72	0.492	0.553	0.08	0.24	-0.72	0.492	0.552
ACADVL	ENSG00000072778	OMIM	AR	-	-	-	-	-	0.34	0.08	0.55	0.585	0.644	0.38	0.08	0.65	0.518	0.577
ACAT1	ENSG00000075239	OMIM	AR	0.00	0.12	-1.58	0.328	0.382	0.04	0.12	-0.27	0.831	0.854	0.04	0.12	-0.27	0.831	0.854
ACD	ENSG00000102977	OMIM	ADAR	0.11	0.00	1.87	0.256	0.300	-	-	-	-	-	0.11	0.00	1.87	0.256	0.299
ACE	ENSG00000159640	OMIM	AR	0.08	0.08	-0.50	0.692	0.747	-	-	-	-	-	0.08	0.08	-0.50	0.692	0.744
ACO1	ENSG00000122729	SOD	Not OMIM	0.08	0.08	0.09	0.948	0.957	-	-	-	-	-	0.08	0.08	0.09	0.948	0.957
ACOX2	ENSG00000168306	OMIM	AR	0.11	0.04	1.71	0.243	0.286	0.08	0.08	-1.38	0.275	0.321	0.19	0.12	-0.03	0.982	0.984
ACPT	ENSG00000142513	OMIM	AR	0.15	0.00	1.97	0.224	0.264	0.04	0.12	-0.55	0.694	0.748	0.19	0.12	0.76	0.481	0.541
ACSF3	ENSG00000176715	OMIM	Other	0.08	0.12	-0.58	0.611	0.672	0.04	0.08	0.43	0.755	0.793	0.11	0.20	-0.28	0.777	0.808
ACSL3	ENSG00000123983	SOD	Not OMIM	0.04	0.16	-2.54	0.047	0.056	-	-	-	-	-	0.04	0.16	-2.54	0.047	0.056
ACSM3	ENSG00000005187	OMIM	Other	0.15	0.16	-0.26	0.818	0.844	-	-	-	-	-	0.15	0.16	-0.26	0.818	0.843
ACY1	ENSG00000243989	OMIM	AR	0.11	0.04	1.33	0.359	0.416	-	-	-	-	-	0.11	0.04	1.33	0.359	0.414
ADAM10	ENSG00000137845	OMIM	AD	-	-	-	-	-	0.19	0.24	-1.16	0.203	0.240	0.19	0.24	-1.16	0.203	0.240
ADAMTS13	ENSG00000160323	OMIM	AR	0.23	0.00	4.07	0.025	0.030	0.38	0.24	-0.70	0.375	0.433	0.57	0.24	0.36	0.658	0.712
ADAMTS17	ENSG00000140470	OMIM	AR	0.11	0.00	1.51	0.369	0.426	-	-	-	-	-	0.11	0.00	1.51	0.369	0.424
ADAMTSL4	ENSG00000143382	OMIM	AR	0.57	0.20	0.20	0.800	0.827	0.42	0.12	0.00	0.998	0.998	0.57	0.20	0.20	0.800	0.826
ADCK3	ENSG00000163050	OMIM	AR	0.15	0.04	0.94	0.459	0.521	-	-	-	-	-	0.23	0.04	1.16	0.339	0.392
ADCY1	ENSG00000164742	OMIM	AR	0.00	0.44	-1.40	0.380	0.438	-	-	-	-	-	0.00	0.44	-1.40	0.380	0.436
ADCY10	ENSG00000143199	OMIM	AD	0.15	0.12	-0.18	0.883	0.904	-	-	-	-	-	0.15	0.12	-0.18	0.883	0.902
ADK	ENSG00000156110	OMIM	AR	0.15	0.08	0.44	0.692	0.747	-	-	-	-	-	0.15	0.08	0.44	0.692	0.744
ADRB3	ENSG00000188778	OMIM	ADAR	0.04	0.12	-1.00	0.426	0.487	-	-	-	-	-	0.04	0.12	-1.00	0.426	0.484
ADSL	ENSG00000239900	OMIM	AR	-	-	-	-	-	0.08	0.20	-1.19	0.275	0.321	0.11	0.20	-1.00	0.330	0.383
ADSSL1	ENSG00000185100	OMIM	AR	0.23	0.12	0.89	0.335	0.389	0.19	0.12	0.80	0.393	0.452	0.23	0.12	0.89	0.335	0.388
AEBP1	ENSG00000106624	OMIM	AR	0.08	0.08	0.45	0.752	0.793	-	-	-	-	-	0.08	0.08	0.45	0.752	0.791
AFP	ENSG00000081051	OMIM	ADAR	0.08	0.04	0.78	0.552	0.615	-	-	-	-	-	0.08	0.04	0.78	0.552	0.612
AGBL1	ENSG00000166748	OMIM	AD	0.15	0.20	-0.55	0.592	0.654	-	-	-	-	-	0.15	0.20	-0.55	0.592	0.651
AGL	ENSG00000162688	OMIM	AR	0.19	0.08	0.92	0.476	0.539	0.15	0.04	0.93	0.502	0.564	0.19	0.08	0.92	0.476	0.536
AGPAT2	ENSG00000169692	OMIM	AR	-	-	-	-	-	0.11	0.00	2.12	0.232	0.274	0.11	0.00	2.12	0.232	0.273
AGRN	ENSG00000188157	OMIM	AR	0.11	0.00	1.59	0.340	0.395	-	-	-	-	-	0.11	0.00	1.59	0.340	0.393
AGXT	ENSG00000172482	OMIM	AR	-	-	-	-	-	0.19	0.08	0.38	0.724	0.774	0.19	0.08	0.38	0.724	0.772
AHI1	ENSG00000135541	OMIM	AR	0.11	0.08	0.01	0.997	0.997	-	-	-	-	-	0.11	0.08	0.01	0.997	0.997
AHSG	ENSG00000145192	OMIM	AR	0.11	0.00	1.08	0.526	0.588	-	-	-	-	-	0.11	0.08	-0.22	0.864	0.885
AIPL1	ENSG00000129221	OMIM	AR	0.11	0.08	-0.69	0.570	0.632	-	-	-	-	-	0.11	0.08	-0.69	0.570	0.629
AIRE	ENSG00000160224	OMIM	ADAR	0.15	0.00	1.19	0.479	0.541	0.19	0.08	0.03	0.978	0.981	0.19	0.08	0.03	0.978	0.981
AK7	ENSG00000140057	OMIM	AR	0.08	0.04	-0.03	0.983	0.985	0.49	0.28	-0.39	0.611	0.670	0.57	0.32	-0.38	0.602	0.661
AKR1C3	ENSG00000196139	SOD	Not OMIM	0.26	0.08	0.06	0.956	0.962	-	-	-	-	-	0.26	0.08	0.06	0.956	0.962
ALB	ENSG00000163631	OMIM	Other	0.19	0.00	2.71	0.083	0.099	-	-	-	-	-	0.19	0.00	2.71	0.083	0.099
ALDH18A1	ENSG00000059573	OMIM	ADAR	-	-	-	-	-	0.08	0.04	0.06	0.963	0.969	0.08	0.08	-0.42	0.735	0.780
ALDH4A1	ENSG00000159423	OMIM	AR	0.26	0.04	1.37	0.288	0.336	0.11	0.00	1.12	0.508	0.570	0.26	0.04	1.37	0.288	0.335
ALDH5A1	ENSG00000112294	OMIM	AR	-	-	-	-	-	0.15	0.00	1.36	0.408	0.466	0.15	0.00	1.36	0.408	0.465
ALDOB	ENSG00000136872	OMIM	AR	0.08	0.04	0.07	0.960	0.965	0.79	0.48	-0.99	0.058	0.069	0.79	0.52	-1.04	0.045	0.054
ALG1	ENSG00000033011	OMIM	AR	-	-	-	-	-	0.08	0.04	0.37	0.810	0.835	0.08	0.04	0.37	0.810	0.835
ALG6	ENSG00000088035	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	1.09	0.495	0.554
ALG8	ENSG00000159063	OMIM	ADAR	0.15	0.04	0.69	0.616	0.677	0.08	0.04	0.34	0.821	0.845	0.15	0.04	0.69	0.616	0.674
ALK	ENSG00000171094	SOD	Not OMIM	0.08	0.04	0.71	0.674	0.730	-	-	-	-	-	0.08	0.04	0.71	0.674	0.728
ALKBH8	ENSG00000137760	OMIM	AR	0.00	0.12	-3.17	0.056	0.067	-	-	-	-	-	0.00	0.12	-3.17	0.056	0.067
ALMS1	ENSG00000116127	OMIM	AR	-	-	-	-	-	0.19	0.04	0.87	0.490	0.551	0.19	0.04	0.87	0.490	0.550
ALOXE3	ENSG00000179148	OMIM	AR	-	-	-	-	-	0.19	0.08	-0.49	0.650	0.707	0.23	0.08	-0.35	0.743	0.785
ALPK2	ENSG00000198796	SOD	Not OMIM	0.11	0.12	0.30	0.791	0.819	-	-	-	-	-	0.11	0.12	0.30	0.791	0.818
ALPK3	ENSG00000136383	OMIM	AR	0.11	0.04	0.91	0.516	0.578	-	-	-	-	-	0.11	0.04	0.91	0.516	0.576
ALPL	ENSG00000162551	OMIM	AR	-	-	-	-	-	0.23	0.04	2.09	0.099	0.118	0.23	0.04	2.09	0.099	0.118
ALS2	ENSG00000003393	OMIM	AR	0.11	0.00	3.86	0.058	0.070	-	-	-	-	-	0.11	0.00	3.86	0.058	0.070
AMACR	ENSG00000242110	OMIM	AR	-	-	-	-	-	0.26	0.00	1.69	0.286	0.333	0.26	0.00	1.69	0.286	0.333
AMBN	ENSG00000178522	OMIM	AR	0.15	0.00	1.56	0.341	0.396	-	-	-	-	-	0.15	0.00	1.56	0.341	0.395
AMHR2	ENSG00000135409	OMIM	AR	0.15	0.12	0.76	0.491	0.554	-	-	-	-	-	0.15	0.12	0.76	0.491	0.551
AMPD1	ENSG00000116748	OMIM	AR	0.15	0.00	3.60	0.030	0.036	0.15	0.00	1.32	0.424	0.483	0.30	0.00	3.74	0.021	0.026
AMPD3	ENSG00000133805	OMIM	AR	-	-	-	-	-	0.34	0.08	1.91	0.045	0.054	0.34	0.16	1.44	0.078	0.093
ANGPTL3	ENSG00000132855	OMIM	AR	0.11	0.16	0.02	0.989	0.991	-	-	-	-	-	0.11	0.16	0.02	0.989	0.991
ANGPTL4	ENSG00000167772	OMIM	AD	0.15	0.04	1.31	0.425	0.486	-	-	-	-	-	0.15	0.04	1.31	0.425	0.483
ANKLE2	ENSG00000176915	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	1.36	0.373	0.428
ANKRD26	ENSG00000107890	OMIM	AD	0.23	0.08	0.63	0.584	0.646	-	-	-	-	-	0.23	0.08	0.63	0.584	0.643
ANKRD30A	ENSG00000148513	SOD	Not OMIM	0.19	0.16	0.23	0.846	0.870	-	-	-	-	-	0.19	0.16	0.23	0.846	0.868
ANLN	ENSG00000011426	OMIM	AD	0.11	0.00	1.38	0.408	0.468	-	-	-	-	-	0.11	0.00	1.38	0.408	0.466
ANO3	ENSG00000134343	OMIM	AD	0.08	0.08	0.33	0.795	0.822	-	-	-	-	-	0.08	0.08	0.33	0.795	0.821
ANO5	ENSG00000171714	OMIM	AR	0.34	0.04	1.43	0.257	0.302	0.53	0.12	0.27	0.752	0.791	0.61	0.16	0.34	0.673	0.727
ANO6	ENSG00000177119	OMIM	AR	0.11	0.04	1.08	0.442	0.504	-	-	-	-	-	0.11	0.04	1.08	0.442	0.501
ANXA11	ENSG00000122359	OMIM	AD	0.04	0.08	-0.52	0.722	0.772	-	-	-	-	-	0.08	0.08	-0.25	0.853	0.876
AP4B1	ENSG00000134262	OMIM	AR	0.11	0.00	1.13	0.506	0.568	0.11	0.00	3.22	0.132	0.157	0.15	0.00	3.27	0.120	0.143
AP4M1	ENSG00000221838	OMIM	AR	0.08	0.04	0.83	0.575	0.637	-	-	-	-	-	0.08	0.04	0.83	0.575	0.634
APCS	ENSG00000132703	OMIM	Other	0.15	0.00	1.13	0.504	0.566	-	-	-	-	-	0.15	0.00	1.13	0.504	0.564
APOA5	ENSG00000110243	OMIM	AD	0.11	0.00	1.04	0.544	0.607	-	-	-	-	-	0.11	0.00	1.04	0.544	0.604
APOB	ENSG00000084674	OMIM	ADAR	0.15	0.04	0.70	0.580	0.642	-	-	-	-	-	0.15	0.04	0.70	0.580	0.639
APOC2	ENSG00000234906	OMIM	AR	-	-	-	-	-	0.26	0.08	-0.09	0.927	0.941	0.26	0.12	-0.12	0.904	0.920
APOC3	ENSG00000110245	OMIM	Other	0.26	0.00	1.93	0.219	0.259	0.26	0.04	1.09	0.361	0.417	0.26	0.04	1.09	0.361	0.416
APOE	ENSG00000130203	OMIM	AD	-	-	-	-	-	0.11	0.16	0.46	0.649	0.706	0.15	0.16	1.05	0.286	0.333
APOL4	ENSG00000100336	OMIM	AD	0.08	0.04	0.19	0.893	0.912	-	-	-	-	-	0.08	0.04	0.19	0.893	0.911
APTX	ENSG00000137074	OMIM	AR	0.11	0.00	1.15	0.495	0.557	-	-	-	-	-	0.11	0.00	1.15	0.495	0.554
AQP2	ENSG00000167580	OMIM	ADAR	-	-	-	-	-	0.08	0.08	0.58	0.694	0.748	0.08	0.08	0.58	0.694	0.745
AR	ENSG00000169083	OMIM	Other	-	-	-	-	-	0.23	0.00	1.62	0.312	0.362	0.23	0.00	1.62	0.312	0.363
ARAF	ENSG00000078061	SOD	Not OMIM	0.08	0.08	-0.43	0.761	0.798	-	-	-	-	-	0.08	0.08	-0.43	0.761	0.797
ARMC4	ENSG00000169126	OMIM	AR	0.04	0.08	-0.12	0.938	0.949	-	-	-	-	-	0.04	0.08	-0.12	0.938	0.948
ARSA	ENSG00000100299	OMIM	AR	-	-	-	-	-	0.23	0.04	1.41	0.364	0.420	0.23	0.04	1.41	0.364	0.419
ARSB	ENSG00000113273	OMIM	AR	-	-	-	-	-	0.04	0.08	-1.09	0.485	0.546	0.04	0.08	-1.09	0.485	0.544
ARSG	ENSG00000141337	OMIM	AR	0.08	0.04	1.02	0.481	0.544	-	-	-	-	-	0.08	0.04	1.02	0.481	0.541
ASAH1	ENSG00000104763	OMIM	AR	0.15	0.28	1.38	0.115	0.137	-	-	-	-	-	0.15	0.32	1.23	0.150	0.178
ASB10	ENSG00000146926	OMIM	Other	0.15	0.12	0.37	0.739	0.785	0.79	0.32	-0.37	0.553	0.613	0.95	0.44	-0.22	0.698	0.749
ASL	ENSG00000126522	OMIM	AR	-	-	-	-	-	0.26	0.12	0.17	0.871	0.890	0.30	0.12	0.26	0.797	0.823
ASPA	ENSG00000108381	OMIM	AR	-	-	-	-	-	0.08	0.08	-0.73	0.583	0.643	0.08	0.08	-0.73	0.583	0.642
ASPM	ENSG00000066279	OMIM	AR	0.26	0.12	0.74	0.466	0.529	0.08	0.08	-0.18	0.893	0.911	0.26	0.12	0.74	0.466	0.526
ASPN	ENSG00000106819	OMIM	AD	0.34	0.04	2.19	0.081	0.097	-	-	-	-	-	0.34	0.04	2.19	0.081	0.097
ASS1	ENSG00000130707	OMIM	AR	-	-	-	-	-	0.11	0.08	0.76	0.604	0.664	0.11	0.08	0.76	0.604	0.663
ASXL1	ENSG00000171456	OMIM	AD	0.11	0.00	1.03	0.549	0.612	-	-	-	-	-	0.11	0.00	1.03	0.549	0.609
ATG16L1	ENSG00000085978	OMIM	Other	0.00	0.16	-0.31	0.860	0.884	-	-	-	-	-	0.00	0.16	-0.31	0.860	0.882
ATM	ENSG00000149311	CPG	Not OMIM	0.38	0.12	1.82	0.158	0.188	0.49	0.04	2.03	0.102	0.122	0.57	0.12	2.32	0.055	0.066
ATP2A1	ENSG00000196296	OMIM	AR	0.00	0.12	-0.87	0.619	0.679	-	-	-	-	-	0.00	0.12	-0.87	0.619	0.676
ATP6V0A4	ENSG00000105929	OMIM	AR	-	-	-	-	-	0.08	0.04	0.88	0.606	0.666	0.08	0.04	0.88	0.606	0.665
ATP6V1B1	ENSG00000116039	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.40	0.766	0.801
