Supplementary Table 7. 109 significantly enriched genes in cases with four features												
												
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Two-hit preference						TAU score	LOEUF	Cluster
				Number of samples with pathogenic variants	Number of samples with LOH	Number of samples with pathogenic variants and LOH	Log2        (Odds ratio)	P-value	FDR			
AAGAB	ENSG00000103591	OMIM	AD	5	344	0	0.00	0.868	0.908	0.166	1.037	1
ABCA7	ENSG00000064687	OMIM	AD	28	502	4	-0.26	0.718	0.796	0.494	1.067	1
ABCC11	ENSG00000121270	OMIM	AD	19	526	5	0.72	0.308	0.417	0.949	1.236	2
ABCG5	ENSG00000138075	OMIM	Other	6	232	1	2.34	0.051	0.100	0.994	1.385	4
ACADM	ENSG00000117054	OMIM	AR	9	396	0	0.00	0.574	0.673	0.241	1.153	1
ALB	ENSG00000163631	OMIM	Other	5	405	2	1.26	0.262	0.369	0.833	0.387	3
ALPL	ENSG00000162551	OMIM	AR	6	587	0	0.00	0.438	0.547	0.584	0.693	3
ALS2	ENSG00000003393	OMIM	AR	3	286	0	0.00	0.459	0.567	0.347	0.516	1
AMPD1	ENSG00000116748	OMIM	AR	8	399	4	2.62	0.005	0.013	0.972	1.202	4
AMPD3	ENSG00000133805	OMIM	AR	9	442	0	0.00	0.780	0.842	0.530	0.907	1
AP4B1	ENSG00000134262	OMIM	AR	4	407	0	0.00	0.897	0.930	0.274	0.827	1
ASAH1	ENSG00000104763	OMIM	AR	4	960	2	0.64	0.593	0.689	0.262	1.180	1
ASPN	ENSG00000106819	OMIM	AD	9	540	3	1.10	0.227	0.330	0.544	1.182	4
ATM	ENSG00000149311	CPG	Not OMIM	15	525	7	1.86	0.009	0.023	0.305	0.710	1
ATP7B	ENSG00000123191	OMIM	AR	19	695	6	0.39	0.568	0.667	0.637	1.188	2
BEST1	ENSG00000167995	OMIM	AD	10	262	1	1.38	0.225	0.328	0.514	1.489	4
BRCA1	ENSG00000012048	CPG	Not OMIM	23	514	21	5.08	0.000	0.000	0.749	0.915	4
BRCA2	ENSG00000139618	CPG	Not OMIM	31	593	23	3.25	0.000	0.000	0.958	0.635	4
BUB1B	ENSG00000156970	CPG	Not OMIM	3	464	0	0.00	0.882	0.919	0.877	0.580	3
C2orf71	ENSG00000179270	OMIM	Other	3	232	0	0.00	0.309	0.417	0.000	1.106	1
C8A	ENSG00000157131	OMIM	AR	4	386	1	1.85	0.148	0.236	1.000	1.184	4
C9	ENSG00000113600	OMIM	Other	10	122	1	2.09	0.066	0.124	0.997	1.514	4
CALCR	ENSG00000004948	OMIM	AD	4	134	0	0.00	0.093	0.164	0.998	0.928	3
CASP10	ENSG00000003400	OMIM	AD	7	282	1	1.30	0.269	0.376	0.509	1.287	4
CD36	ENSG00000135218	OMIM	AR	30	138	2	1.29	0.153	0.243	0.584	1.995	4
CHRNA5	ENSG00000169684	OMIM	Other	6	342	0	0.00	0.972	0.981	0.972	1.136	2
COL18A1	ENSG00000182871	OMIM	AR	7	435	1	0.56	0.632	0.723	0.291	0.535	1
CPT2	ENSG00000157184	OMIM	AR	7	374	2	1.62	0.118	0.199	0.306	1.172	4
CRAT	ENSG00000095321	OMIM	AR	2	546	1	1.94	0.179	0.275	0.335	0.993	4
CRB1	ENSG00000134376	OMIM	AR	11	248	1	0.81	0.467	0.576	0.979	0.829	3
CSF2RB	ENSG00000100368	OMIM	AR	9	527	1	-0.13	0.908	0.938	0.676	0.441	3
CUBN	ENSG00000107611	OMIM	AR	9	401	0	0.00	0.673	0.758	0.781	0.647	3
CYP1B1	ENSG00000138061	OMIM	AR	14	247	2	0.98	0.299	0.408	0.393	1.176	1
DHCR7	ENSG00000172893	OMIM	AR	16	285	2	0.82	0.375	0.484	0.339	1.349	1
DMPK	ENSG00000104936	OMIM	AD	3	275	0	0.00	0.482	0.589	0.221	0.512	1
DNAH11	ENSG00000105877	OMIM	AR	7	160	0	0.00	0.456	0.564	0.936	0.674	3
DNAH5	ENSG00000039139	OMIM	Other	18	139	0	0.00	0.939	0.960	0.908	0.695	3
DNASE1	ENSG00000213918	OMIM	AD	6	381	1	1.29	0.278	0.386	0.434	1.948	4
DUOX2	ENSG00000140279	OMIM	AR	13	447	3	1.05	0.218	0.321	0.788	1.270	2
ECM1	ENSG00000143369	OMIM	AR	3	163	0	0.00	0.154	0.244	0.490	1.126	1
EPB42	ENSG00000166947	OMIM	Other	3	457	0	0.00	0.906	0.936	0.959	0.773	3
ESR2	ENSG00000140009	OMIM	AD	5	484	2	1.69	0.127	0.210	0.912	1.007	3
EYS	ENSG00000188107	OMIM	AR	16	471	2	-0.04	0.967	0.978	1.000	0.834	3
FAH	ENSG00000103876	CPG	Not OMIM	7	335	0	0.00	0.784	0.845	0.385	1.414	1
FAM111A	ENSG00000166801	OMIM	AD	9	253	1	1.27	0.265	0.373	0.264	1.949	4
FLG2	ENSG00000143520	OMIM	AR	14	172	0	0.00	0.913	0.941	0.995	1.919	2
FREM2	ENSG00000150893	OMIM	AR	4	639	1	0.41	0.746	0.817	0.913	0.475	3
FYCO1	ENSG00000163820	OMIM	AR	6	667	2	0.79	0.461	0.569	0.328	0.911	1
G6PC	ENSG00000131482	OMIM	AR	9	507	3	1.33	0.148	0.237	0.967	1.010	3
GJB2	ENSG00000165474	CPG	Not OMIM	20	516	3	-0.08	0.920	0.946	0.785	1.984	2
GPR98	ENSG00000164199	OMIM	AR	6	478	0	0.00	0.738	0.811	0.940	0.516	3
