Supplementary Table 5. Functional Annotation of 103 Significantly Enriched OMIM Genes Using GO and KEGG			
			
ID	GOTERM_BP_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY
DHCR7	GO:0006695~cholesterol biosynthetic process,GO:0016126~sterol biosynthetic process,GO:0016132~brassinosteroid biosynthetic process,GO:0033489~cholesterol biosynthetic process via desmosterol,GO:0033490~cholesterol biosynthetic process via lathosterol,GO:0045540~regulation of cholesterol biosynthetic process,	GO:0005515~protein binding,GO:0009918~sterol delta7 reductase activity,GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0047598~7-dehydrocholesterol reductase activity,GO:0050661~NADP binding,	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,
ABCA7	GO:0006869~lipid transport,GO:0006909~phagocytosis,GO:0007613~memory,GO:0008542~visual learning,GO:0010875~positive regulation of cholesterol efflux,GO:0018149~peptide cross-linking,GO:0019216~regulation of lipid metabolic process,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0034205~beta-amyloid formation,GO:0034380~high-density lipoprotein particle assembly,GO:0034504~protein localization to nucleus,GO:0038027~apolipoprotein A-I-mediated signaling pathway,GO:0042985~negative regulation of amyloid precursor protein biosynthetic process,GO:0043409~negative regulation of MAPK cascade,GO:0044857~plasma membrane raft organization,GO:0045332~phospholipid translocation,GO:0045806~negative regulation of endocytosis,GO:0050766~positive regulation of phagocytosis,GO:0055085~transmembrane transport,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:1900223~positive regulation of beta-amyloid clearance,GO:1901076~positive regulation of engulfment of apoptotic cell,GO:1902430~negative regulation of beta-amyloid formation,GO:1902991~regulation of amyloid precursor protein catabolic process,GO:1902995~positive regulation of phospholipid efflux,GO:1903898~negative regulation of PERK-mediated unfolded protein response,GO:2000010~positive regulation of protein localization to cell surface,	GO:0005319~lipid transporter activity,GO:0005524~ATP binding,GO:0005548~phospholipid transporter activity,GO:0016887~ATPase activity,GO:0034188~apolipoprotein A-I receptor activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0090554~phosphatidylcholine-translocating ATPase activity,GO:0090556~phosphatidylserine-translocating ATPase activity,	hsa02010:ABC transporters,
ABCC11	GO:0015711~organic anion transport,GO:0015721~bile acid and bile salt transport,GO:0015865~purine nucleotide transport,GO:0042908~xenobiotic transport,GO:0055085~transmembrane transport,GO:0071716~leukotriene transport,GO:0098656~anion transmembrane transport,	GO:0005524~ATP binding,GO:0008514~organic anion transmembrane transporter activity,GO:0008559~xenobiotic-transporting ATPase activity,GO:0015216~purine nucleotide transmembrane transporter activity,GO:0015431~glutathione S-conjugate-exporting ATPase activity,GO:0015432~bile acid-exporting ATPase activity,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043225~ATPase-coupled anion transmembrane transporter activity,	hsa02010:ABC transporters,
ABCG5	GO:0007584~response to nutrient,GO:0007588~excretion,GO:0009410~response to xenobiotic stimulus,GO:0010212~response to ionizing radiation,GO:0010949~negative regulation of intestinal phytosterol absorption,GO:0014850~response to muscle activity,GO:0015918~sterol transport,GO:0030299~intestinal cholesterol absorption,GO:0033344~cholesterol efflux,GO:0038183~bile acid signaling pathway,GO:0042632~cholesterol homeostasis,GO:0045796~negative regulation of intestinal cholesterol absorption,GO:0055085~transmembrane transport,GO:0070328~triglyceride homeostasis,GO:0071702~organic substance transport,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0046872~metal ion binding,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,	hsa02010:ABC transporters,hsa04975:Fat digestion and absorption,hsa04976:Bile secretion,hsa04979:Cholesterol metabolism,
ATP7B	GO:0006825~copper ion transport,GO:0006878~cellular copper ion homeostasis,GO:0006882~cellular zinc ion homeostasis,GO:0007595~lactation,GO:0015677~copper ion import,GO:0015680~intracellular copper ion transport,GO:0034220~ion transmembrane transport,GO:0046688~response to copper ion,GO:0051208~sequestering of calcium ion,GO:0051649~establishment of localization in cell,GO:0055070~copper ion homeostasis,GO:0060003~copper ion export,GO:0065008~regulation of biological quality,GO:1990961~drug transmembrane export,	GO:0000166~nucleotide binding,GO:0005375~copper ion transmembrane transporter activity,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016787~hydrolase activity,GO:0016887~ATPase activity,GO:0043682~copper-transporting ATPase activity,GO:0046872~metal ion binding,	hsa01524:Platinum drug resistance,hsa04978:Mineral absorption,
CD36	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000165~MAPK cascade,GO:0001954~positive regulation of cell-matrix adhesion,GO:0002532~production of molecular mediator involved in inflammatory response,GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0006869~lipid transport,GO:0006898~receptor-mediated endocytosis,GO:0006910~phagocytosis, recognition,GO:0006911~phagocytosis, engulfment,GO:0006955~immune response,GO:0007155~cell adhesion,GO:0007166~cell surface receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007263~nitric oxide mediated signal transduction,GO:0007596~blood coagulation,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0010886~positive regulation of cholesterol storage,GO:0010942~positive regulation of cell death,GO:0015909~long-chain fatty acid transport,GO:0015911~plasma membrane long-chain fatty acid transport,GO:0015912~short-chain fatty acid transport,GO:0019915~lipid storage,GO:0019934~cGMP-mediated signaling,GO:0030194~positive regulation of blood coagulation,GO:0030299~intestinal cholesterol absorption,GO:0030301~cholesterol transport,GO:0031623~receptor internalization,GO:0031664~regulation of lipopolysaccharide-mediated signaling pathway,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032735~positive regulation of interleukin-12 production,GO:0032755~positive regulation of interleukin-6 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0033993~response to lipid,GO:0034121~regulation of toll-like receptor signaling pathway,GO:0034197~triglyceride transport,GO:0034381~plasma lipoprotein particle clearance,GO:0034383~low-density lipoprotein particle clearance,GO:0035634~response to stilbenoid,GO:0042308~negative regulation of protein import into nucleus,GO:0042953~lipoprotein transport,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043254~regulation of protein complex assembly,GO:0043277~apoptotic cell clearance,GO:0044539~long-chain fatty acid import,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050830~defense response to Gram-positive bacterium,GO:0050892~intestinal absorption,GO:0050909~sensory perception of taste,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0055096~low-density lipoprotein particle mediated signaling,GO:0060100~positive regulation of phagocytosis, engulfment,GO:0060907~positive regulation of macrophage cytokine production,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070508~cholesterol import,GO:0070542~response to fatty acid,GO:0070543~response to linoleic acid,GO:0071221~cellular response to bacterial lipopeptide,GO:0071222~cellular response to lipopolysaccharide,GO:0071223~cellular response to lipoteichoic acid,GO:0071404~cellular response to low-density lipoprotein particle stimulus,GO:0071447~cellular response to hydroperoxide,GO:0071726~cellular response to diacyl bacterial lipopeptide,GO:0097009~energy homeostasis,GO:0098900~regulation of action potential,GO:1900227~positive regulation of NLRP3 inflammasome complex assembly,GO:1903428~positive regulation of reactive oxygen species biosynthetic process,GO:1904646~cellular response to beta-amyloid,GO:1990000~amyloid fibril formation,GO:1990379~lipid transport across blood brain barrier,GO:2000121~regulation of removal of superoxide radicals,GO:2000334~positive regulation of blood microparticle formation,	GO:0001540~beta-amyloid binding,GO:0005041~low-density lipoprotein receptor activity,GO:0005044~scavenger receptor activity,GO:0005324~long-chain fatty acid transporter activity,GO:0005504~fatty acid binding,GO:0005515~protein binding,GO:0008035~high-density lipoprotein particle binding,GO:0008289~lipid binding,GO:0015636~short-chain fatty acid uptake transporter activity,GO:0030169~low-density lipoprotein particle binding,GO:0030296~protein tyrosine kinase activator activity,GO:0035325~Toll-like receptor binding,GO:0044877~macromolecular complex binding,GO:0050431~transforming growth factor beta binding,GO:0070053~thrombospondin receptor activity,GO:0070892~lipoteichoic acid receptor activity,GO:0071813~lipoprotein particle binding,GO:1901480~oleate transporter activity,	hsa03320:PPAR signaling pathway,hsa04145:Phagosome,hsa04152:AMPK signaling pathway,hsa04512:ECM-receptor interaction,hsa04640:Hematopoietic cell lineage,hsa04920:Adipocytokine signaling pathway,hsa04931:Insulin resistance,hsa04975:Fat digestion and absorption,hsa04979:Cholesterol metabolism,hsa05144:Malaria,hsa05415:Diabetic cardiomyopathy,hsa05417:Lipid and atherosclerosis,
DMPK	GO:0002028~regulation of sodium ion transport,GO:0006468~protein phosphorylation,GO:0006874~cellular calcium ion homeostasis,GO:0006998~nuclear envelope organization,GO:0008016~regulation of heart contraction,GO:0010657~muscle cell apoptotic process,GO:0010830~regulation of myotube differentiation,GO:0014722~regulation of skeletal muscle contraction by calcium ion signaling,GO:0014853~regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction,GO:0018105~peptidyl-serine phosphorylation,GO:0035556~intracellular signal transduction,GO:0051823~regulation of synapse structural plasticity,	GO:0004674~protein serine/threonine kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0017020~myosin phosphatase regulator activity,GO:0046872~metal ion binding,	
FAM111A	GO:0006260~DNA replication,GO:0006508~proteolysis,GO:0006974~cellular response to DNA damage stimulus,GO:0016540~protein autoprocessing,GO:0031297~replication fork processing,GO:0045071~negative regulation of viral genome replication,	GO:0003697~single-stranded DNA binding,GO:0005515~protein binding,GO:0008233~peptidase activity,	
FREM2	GO:0001654~eye development,GO:0001822~kidney development,GO:0002009~morphogenesis of an epithelium,GO:0007154~cell communication,GO:0007155~cell adhesion,GO:0007507~heart development,GO:0009653~anatomical structure morphogenesis,GO:0042733~embryonic digit morphogenesis,GO:0048839~inner ear development,	GO:0005515~protein binding,GO:0046872~metal ion binding,	hsa04512:ECM-receptor interaction,
FYCO1	GO:0072383~plus-end-directed vesicle transport along microtubule,GO:1901098~positive regulation of autophagosome maturation,	GO:0005515~protein binding,GO:0046872~metal ion binding,	hsa05132:Salmonella infection,
