Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
					PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
ABCA3	ENSG00000167972	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.16	1.14	0.349	0.478	0.52	0.16	1.14	0.349	0.468
ABCA4	ENSG00000198691	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.36	0.72	0.451	0.523	1.03	0.36	0.72	0.451	0.512
ABCA7	ENSG00000064687	OMIM	AD	Breast-AdenoCA	2.06	0.28	1.80	0.030	0.059	-	-	-	-	-	2.06	0.28	1.80	0.030	0.059
ABCC6	ENSG00000091262	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	0.52	0.24	0.65	0.578	0.641	0.52	0.28	0.45	0.693	0.732
ABCG2	ENSG00000118777	OMIM	AD	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
ADAM10	ENSG00000137845	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	0.00	0.24	-0.36	0.815	0.832	0.00	0.24	-0.36	0.815	0.830
ADAMTS13	ENSG00000160323	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
AGBL1	ENSG00000166748	OMIM	AD	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936
AHSG	ENSG00000145192	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	1.55	0.04	3.48	0.006	0.011
AK7	ENSG00000140057	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.55	0.16	2.15	0.027	0.053	1.55	0.16	2.15	0.027	0.053
ALDOB	ENSG00000136872	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.48	0.34	0.717	0.756	1.03	0.48	0.34	0.717	0.754
ASB10	ENSG00000146926	OMIM	Other	Breast-AdenoCA	-	-	-	-	-	1.55	0.28	1.47	0.099	0.163	2.58	0.28	2.08	0.009	0.017
ASPM	ENSG00000066279	OMIM	AR	Breast-AdenoCA	1.55	0.08	2.90	0.009	0.018	-	-	-	-	-	1.55	0.08	2.90	0.009	0.018
ATP7B	ENSG00000123191	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072	1.03	0.08	2.47	0.037	0.072
BBS1	ENSG00000174483	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.52	0.24	0.65	0.578	0.641	0.52	0.24	0.65	0.578	0.639
BCHE	ENSG00000114200	OMIM	Other	Breast-AdenoCA	-	-	-	-	-	1.55	0.20	1.89	0.044	0.086	1.55	0.20	1.89	0.044	0.086
BCMO1	ENSG00000135697	OMIM	AD	Breast-AdenoCA	-	-	-	-	-	-	-	-	-	-	1.03	0.08	2.47	0.037	0.072
BRCA1	ENSG00000012048	CPG	Not OMIM	Breast-AdenoCA	2.06	0.00	4.81	0.002	0.005	2.06	0.00	4.81	0.002	0.005	2.06	0.00	4.81	0.002	0.005
BRCA2	ENSG00000139618	CPG	Not OMIM	Breast-AdenoCA	4.12	0.04	4.70	0.000	0.000	4.12	0.04	4.70	0.000	0.000	4.12	0.04	4.70	0.000	0.000
C7	ENSG00000112936	OMIM	Other	Breast-AdenoCA	-	-	-	-	-	0.52	0.20	0.87	0.462	0.533	1.03	0.20	1.47	0.154	0.249
C8B	ENSG00000021852	OMIM	AR	Breast-AdenoCA	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
CAPN3	ENSG00000092529	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.52	0.12	1.46	0.245	0.389	0.52	0.12	1.46	0.245	0.386
CBS	ENSG00000160200	OMIM	AR	Breast-AdenoCA	-	-	-	-	-	0.00	0.16	0.13	0.936	0.936	0.00	0.16	0.13	0.936	0.936
CCDC73	ENSG00000186714	SOD	Not OMIM	Breast-AdenoCA	0.52	0.16	1.14	0.349	0.454	-	-	-	-	-	0.52	0.16	1.14	0.349	0.468
CFTR	ENSG00000001626	OMIM	ADAR	Breast-AdenoCA	-	-	-	-	-	0.52	0.12	1.46	0.245	0.389	0.52	0.12	1.46	0.245	0.386
